fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,guard_passes,reversals,control_time,unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
2501,"UFC 239: Jones vs. Santos","Arnold Allen","Gilbert Melendez",Featherweight,U-DEC,NULL,3,5:00,c48af5eafb532d0a,614,2501,234,3,"Arnold Allen",0,26,50,1,2,0,0,0,0:40,614,2501,234,3,"Arnold Allen",13,34,5,5,8,10,26,49,0,0,0,0
209,"The Ultimate Fighter: Team Edgar vs. Team Penn Fin","Frankie Edgar","BJ Penn",Featherweight,KO/TKO,Punches,3,4:16,bdcb43bf1daa790b,645,209,21,1,"Frankie Edgar",0,25,49,1,1,0,0,0,3:01,645,209,21,1,"Frankie Edgar",10,30,2,3,5,7,11,28,0,0,6,12
209,"The Ultimate Fighter: Team Edgar vs. Team Penn Fin","Frankie Edgar","BJ Penn",Featherweight,KO/TKO,Punches,3,4:16,bdcb43bf1daa790b,646,209,21,1,"BJ Penn",0,25,46,0,0,0,0,0,0:00,646,209,21,1,"BJ Penn",5,25,0,0,0,0,5,23,0,2,0,0
209,"The Ultimate Fighter: Team Edgar vs. Team Penn Fin","Frankie Edgar","BJ Penn",Featherweight,KO/TKO,Punches,3,4:16,bdcb43bf1daa790b,647,209,21,2,"Frankie Edgar",0,59,85,1,1,0,1,0,3:30,647,209,21,2,"Frankie Edgar",31,54,3,4,2,2,11,22,0,1,25,37
209,"The Ultimate Fighter: Team Edgar vs. Team Penn Fin","Frankie Edgar","BJ Penn",Featherweight,KO/TKO,Punches,3,4:16,bdcb43bf1daa790b,648,209,21,2,"BJ Penn",0,20,37,0,0,0,0,0,0:00,648,209,21,2,"BJ Penn",2,17,0,0,0,0,2,16,0,1,0,0
209,"The Ultimate Fighter: Team Edgar vs. Team Penn Fin","Frankie Edgar","BJ Penn",Featherweight,KO/TKO,Punches,3,4:16,bdcb43bf1daa790b,649,209,21,3,"Frankie Edgar",0,75,102,1,1,0,2,0,2:21,649,209,21,3,"Frankie Edgar",35,58,1,3,1,1,10,31,0,0,27,31
209,"The Ultimate Fighter: Team Edgar vs. Team Penn Fin","Frankie Edgar","BJ Penn",Featherweight,KO/TKO,Punches,3,4:16,bdcb43bf1daa790b,650,209,21,3,"BJ Penn",0,15,33,0,0,0,0,0,0:00,650,209,21,3,"BJ Penn",6,24,0,0,0,0,6,24,0,0,0,0
1630,"UFC Fight Night: Rodriguez vs. Penn","Yair Rodriguez","BJ Penn",Featherweight,KO/TKO,Punches,2,0:24,5742025a09190829,651,1630,152,1,"Yair Rodriguez",0,38,75,0,0,0,0,0,0:00,651,1630,152,1,"Yair Rodriguez",15,45,15,19,7,9,32,66,5,7,0,0
1630,"UFC Fight Night: Rodriguez vs. Penn","Yair Rodriguez","BJ Penn",Featherweight,KO/TKO,Punches,2,0:24,5742025a09190829,652,1630,152,1,"BJ Penn",0,7,27,0,0,0,0,0,0:22,652,1630,152,1,"BJ Penn",4,22,0,0,0,0,3,21,1,1,0,0
1630,"UFC Fight Night: Rodriguez vs. Penn","Yair Rodriguez","BJ Penn",Featherweight,KO/TKO,Punches,2,0:24,5742025a09190829,653,1630,152,2,"Yair Rodriguez",1,18,38,0,0,0,0,0,0:19,653,1630,152,2,"Yair Rodriguez",18,38,0,0,0,0,2,2,0,0,16,36
1630,"UFC Fight Night: Rodriguez vs. Penn","Yair Rodriguez","BJ Penn",Featherweight,KO/TKO,Punches,2,0:24,5742025a09190829,654,1630,152,2,"BJ Penn",0,0,0,0,0,0,0,0,0:00,654,1630,152,2,"BJ Penn",0,0,0,0,0,0,0,0,0,0,0,0
2790,"UFC on FUEL TV: Barao vs McDonald","Cub Swanson","Dustin Poirier",Featherweight,U-DEC,NULL,3,5:00,493b7a8e3253b133,821,2790,260,1,"Cub Swanson",0,25,52,0,0,0,0,0,0:00,821,2790,260,1,"Cub Swanson",14,37,4,7,4,5,19,46,3,3,0,0
2790,"UFC on FUEL TV: Barao vs McDonald","Cub Swanson","Dustin Poirier",Featherweight,U-DEC,NULL,3,5:00,493b7a8e3253b133,822,2790,260,1,"Dustin Poirier",0,28,59,1,5,0,0,0,1:39,822,2790,260,1,"Dustin Poirier",3,27,1,3,14,16,15,40,3,4,0,2
2790,"UFC on FUEL TV: Barao vs McDonald","Cub Swanson","Dustin Poirier",Featherweight,U-DEC,NULL,3,5:00,493b7a8e3253b133,823,2790,260,2,"Cub Swanson",0,26,49,0,0,0,0,0,0:00,823,2790,260,2,"Cub Swanson",11,30,5,7,1,2,17,39,0,0,0,0
